superficie_construida,precio,distritos_id
600,5400000,10
600,3800000,10
59,330000,9
63,402000,8
300,1750000,10
300,1300000,10
100,875000,7
150,1050000,10
322,1159200,4
56,525000,7
56,450000,7
56,400000,7
190,930000,9
190,725000,9
190,725000,9
190,650000,9
100,961620,8
300,2100000,10
400,5200000,17
95,590000,10
94,480000,12
94,400000,12
385,1386000,4
350,2476000,8
150,1390000,7
150,950000,7
150,850000,7
150,895000,7
179,827560,14
245,1030000,35
600,2060000,1
130,950000,7
400,2600000,7
198,1450000,7
97,430000,35
220,1000000,14
198,760000,14
240,1650000,7
300,1000000,11
135,837000,7
375,2400000,15
105,425000,10
175,750000,9
432,1563000,35
140,750000,8
345,1800000,7
300,3600000,7
60,284000,4
175,1500000,17
500,6300000,7
500,5000000,7
500,4635000,7
500,4350000,7
500,3750000,7
500,3750000,7
500,3750000,7
500,3750000,7
500,3750000,7
500,3750000,7
500,3750000,7
180,1400000,14
180,1050000,14
180,1050000,14
180,1200000,14
220,1200000,35
291,1800000,14
291,1500000,14
170,1000000,11
127,540000,7
127,470000,7
90,550000,10
87,465000,10
715,4000000,10
715,3300000,10
715,3300000,10
715,3300000,10
715,3300000,10
715,3300000,10
715,3300000,10
715,2950000,10
715,3200000,10
715,3200000,10
715,3200000,10
715,3200000,10
715,2950000,10
715,3300000,10
715,3300000,10
715,3300000,10
180,1200000,15
180,950000,15
180,725000,15
180,680000,15
180,680000,15
265,1995000,10
265,1795000,10
159,480000,4
159,480000,4
410,3000000,7
180,2000000,12
1100,17128845,10
1100,18000000,10
1100,18000000,10
1100,18000000,10
1100,18000000,10
1100,18000000,10
185,1250000,4
140,1000000,4
140,1250000,4
140,1250000,4
140,1000000,4
140,1000000,4
140,1000000,4
140,1000000,4
140,1000000,4
140,1000000,4
140,1000000,4
110,750000,7
160,920000,8
405,2400000,10
314,2400000,10
250,1800000,35
171,780000,35
350,1803000,35
135,1075000,7
155,1200000,35
240,1530000,8
130,790000,35
230,1600000,4
215,1130000,10
48,273460,8
192,1250000,7
192,920000,7
192,750000,7
192,750000,7
192,695000,7
192,695000,7
192,695000,7
192,695000,7
192,695000,7
190,950000,10
200,980000,17
308,1700000,7
62,450000,7
62,406000,7
62,312000,7
62,312000,7
200,850000,9
290,2000000,10
190,1030000,7
300,2704500,8
300,2750000,8
60,318000,10
94,600000,4
112,750000,7
78,309000,16
80,446000,10
460,2815000,17
155,950000,7
227,1850000,17
227,1850000,17
227,1850000,17
227,1850000,17
227,1850000,17
227,1850000,17
227,1850000,17
227,1850000,17
215,1000000,11
215,1000000,11
190,1360000,7
195,1275000,10
195,1150000,10
165,900000,14
300,1760000,7
220,1200000,14
98,330000,4
115,600000,4
52,160000,21
146,690000,7
190,940000,4
501,4600000,10
501,4000000,10
501,3800000,10
501,3600000,10
501,3200000,10
70,450000,8
155,1140000,8
155,750000,4
80,480000,1
206,1238000,7
135,850000,7
135,1200000,7
135,1000000,7
135,800000,7
135,800000,7
135,650000,7
81,537800,8
156,630000,4
156,595000,4
156,570000,4
156,520000,4
170,790000,7
480,3200000,10
195,1030000,7
78,190000,21
62,270000,10
200,1100000,7
151,800000,7
204,1550000,17
150,715900,14
100,660000,8
85,515000,8
90,88000,8
172,902000,7
200,2060000,7
542,2750000,10
542,2600000,10
350,2206000,7
127,914000,8
370,1854000,8
370,1648000,8
330,2900000,10
330,2500000,10
330,2500000,10
330,1450000,10
260,2350000,4
370,2000000,8
220,1860000,7
220,1600000,7
220,1500000,7
220,1295000,7
420,2500000,10
420,2200000,10
420,1800000,10
238,700000,9
210,940000,35
230,1600000,8
230,1500000,8
375,1800000,15
480,3500000,17
278,1950000,10
340,2700000,7
340,2100000,7
205,1020000,10
205,695000,10
205,600000,10
205,575000,10
205,500000,10
205,525000,10
205,525000,10
205,565000,10
200,750000,4
80,280000,14
250,1400000,7
236,2075000,7
370,1854000,7
50,165000,1
350,1300000,7
570,6000000,7
260,1830000,7
500,4500000,7
500,3300000,7
500,3100000,7
509,3500000,10
524,2800000,10
267,1825000,7
178,1250000,7
168,1100000,7
147,600000,35
346,1650000,14
247,1700000,8
247,1500000,8
247,1000000,8
247,1050000,8
56,410000,8
154,780000,35
263,1200000,14
130,590000,15
160,1265000,17
156,1000000,4
215,1500000,8
